identifier,data_type,num_files,num_bytes,dandiset_schemaver,url,nwb_version,validation_summary,max_file_size,min_file_size
DANDI:000003,Neurodata Without Borders (NWB),101,2559248010229,0.6.0,https://dandiarchive.org/dandiset/000003/draft,,,160536501381.0,4658016531.0
DANDI:000004,Neurodata Without Borders (NWB),87,6197474020,0.6.0,https://dandiarchive.org/dandiset/000004/draft,2.1.0,"PYNWB_VALIDATION,CRITICAL,BEST_PRACTICE_VIOLATION",73475752.0,54425024.0
DANDI:000005,Neurodata Without Borders (NWB),148,46436686324,0.6.0,https://dandiarchive.org/dandiset/000005/draft,2.2.2,BEST_PRACTICE_VIOLATION,1130814448.0,44490544.0
DANDI:000006,Neurodata Without Borders (NWB),53,139600500,0.6.0,https://dandiarchive.org/dandiset/000006/draft,2.0.2,"PYNWB_VALIDATION,BEST_PRACTICE_VIOLATION",11476076.0,258992.0
DANDI:000007,Neurodata Without Borders (NWB),54,199439472,0.6.0,https://dandiarchive.org/dandiset/000007/draft,2.2.2,"PYNWB_VALIDATION,BEST_PRACTICE_VIOLATION",12967832.0,408768.0
DANDI:000008,Neurodata Without Borders (NWB),1328,11922334254,0.6.0,https://dandiarchive.org/dandiset/000008/draft,2.2.5,,11592540.0,2565567.0
DANDI:000009,Neurodata Without Borders (NWB),173,12919706852,0.6.0,https://dandiarchive.org/dandiset/000009/draft,2.1.0,"PYNWB_VALIDATION,BEST_PRACTICE_VIOLATION",926960432.0,348280.0
DANDI:000010,Neurodata Without Borders (NWB),158,40006570644,0.6.0,https://dandiarchive.org/dandiset/000010/draft,2.1.0,,651945148.0,22573472.0
DANDI:000011,Neurodata Without Borders (NWB),92,32435325542,0.6.0,https://dandiarchive.org/dandiset/000011/draft,2.1.0,"PYNWB_VALIDATION,BEST_PRACTICE_VIOLATION",579186234.0,148560.0
DANDI:000012,Neurodata Without Borders (NWB),297,487524911,0.6.0,https://dandiarchive.org/dandiset/000012/draft,2.2.5,,4057345.0,250521.0
DANDI:000013,Neurodata Without Borders (NWB),52,11408735292,0.6.0,https://dandiarchive.org/dandiset/000013/draft,2.2.2,BEST_PRACTICE_VIOLATION,601353724.0,38019072.0
DANDI:000015,Neurodata Without Borders (NWB),210,17159727736,0.6.0,https://dandiarchive.org/dandiset/000015/draft,2.1.0,,182056392.0,16817384.0
DANDI:000016,Neurodata Without Borders (NWB),135,62572042499,0.6.0,https://dandiarchive.org/dandiset/000016/draft,2.2.2,"CRITICAL,BEST_PRACTICE_VIOLATION",1374117259.0,178742229.0
DANDI:000017,Neurodata Without Borders (NWB),39,14682586049,0.6.0,https://dandiarchive.org/dandiset/000017/draft,2.1.0,"PYNWB_VALIDATION,CRITICAL,BEST_PRACTICE_VIOLATION",619346872.0,204150135.0
DANDI:000018,,0,0,0.6.0,https://dandiarchive.org/dandiset/000018/draft,,,,
DANDI:000019,Neurodata Without Borders (NWB),31,55585858956,0.6.0,https://dandiarchive.org/dandiset/000019/draft,2.0.2,"PYNWB_VALIDATION,BEST_PRACTICE_VIOLATION",2761687601.0,558155445.0
DANDI:000020,Neurodata Without Borders (NWB),4435,141856436428,0.6.0,https://dandiarchive.org/dandiset/000020/draft,2.2.5,PYNWB_VALIDATION,94468433.0,4298539.0
DANDI:000021,Neurodata Without Borders (NWB),214,477562344354,0.6.0,https://dandiarchive.org/dandiset/000021/draft,2.2.2,BEST_PRACTICE_VIOLATION,3240335928.0,71781159.0
DANDI:000022,Neurodata Without Borders (NWB),169,374956840341,0.6.0,https://dandiarchive.org/dandiset/000022/draft,,,2989635376.0,1358035040.0
DANDI:000023,Neurodata Without Borders (NWB),318,12401578899,0.6.0,https://dandiarchive.org/dandiset/000023/draft,2.2.5,"PYNWB_VALIDATION,BEST_PRACTICE_VIOLATION",107338626.0,11362853.0
DANDI:000024,,0,0,0.6.0,https://dandiarchive.org/dandiset/000024/draft,,,,
DANDI:000024,,0,0,0.6.0,https://dandiarchive.org/dandiset/000024/draft,,,,
DANDI:000025,Neurodata Without Borders (NWB),1,13664814,0.6.0,https://dandiarchive.org/dandiset/000025/draft,,UNABLE,13664814.0,13664814.0
DANDI:000026,Brain Imaging Data Structure (BIDS),40471,11752241722188,0.6.0,https://dandiarchive.org/dandiset/000026/draft,,,,
DANDI:000027,Neurodata Without Borders (NWB),1,18792,0.6.0,https://dandiarchive.org/dandiset/000027/draft,2.0b,,18792.0,18792.0
DANDI:000028,Neurodata Without Borders (NWB),3,42942229688,0.6.0,https://dandiarchive.org/dandiset/000028/draft,2.2.5,"PYNWB_VALIDATION,BEST_PRACTICE_VIOLATION",29521959808.0,8391808.0
DANDI:000029,Neurodata Without Borders (NWB),5,20716164,0.4.4,https://dandiarchive.org/dandiset/000029/draft,2.0.2,"PYNWB_VALIDATION,BEST_PRACTICE_VIOLATION",7660100.0,18792.0
DANDI:000030,,0,0,0.6.0,https://dandiarchive.org/dandiset/000030/draft,,,,
DANDI:000031,,0,0,0.6.0,https://dandiarchive.org/dandiset/000031/draft,,,,
DANDI:000032,,0,0,0.6.0,https://dandiarchive.org/dandiset/000032/draft,,,,
DANDI:000033,,0,0,0.6.0,https://dandiarchive.org/dandiset/000033/draft,,,,
DANDI:000034,Neurodata Without Borders (NWB),6,74351014076,0.6.0,https://dandiarchive.org/dandiset/000034/draft,2.2.5,BEST_PRACTICE_VIOLATION,29530187056.0,9693752.0
DANDI:000035,Neurodata Without Borders (NWB),185,1656166654,0.6.0,https://dandiarchive.org/dandiset/000035/draft,2.1.0,,10575697.0,2859741.0
DANDI:000036,Neurodata Without Borders (NWB),57,79771339536,0.6.0,https://dandiarchive.org/dandiset/000036/draft,,,1669035980.0,1303091868.0
DANDI:000037,Neurodata Without Borders (NWB),96,115952997660,0.6.0,https://dandiarchive.org/dandiset/000037/draft,2.2.5,PYNWB_VALIDATION,3128695396.0,134593744.0
DANDI:000038,,0,0,0.6.0,https://dandiarchive.org/dandiset/000038/draft,,,,
DANDI:000039,Neurodata Without Borders (NWB),100,22607247880,0.6.0,https://dandiarchive.org/dandiset/000039/draft,2.4.0,"CRITICAL,BEST_PRACTICE_VIOLATION",1080797520.0,27092080.0
DANDI:000040,,0,0,0.6.0,https://dandiarchive.org/dandiset/000040/draft,,,,
DANDI:000041,Neurodata Without Borders (NWB),22,154863459017,0.6.0,https://dandiarchive.org/dandiset/000041/draft,,,14960791468.0,1470449920.0
DANDI:000042,,0,0,0.6.0,https://dandiarchive.org/dandiset/000042/draft,,,,
